uf;estado;regiao;numerotitulos;remuneracaoMedia
AC;Acre;Norte;18,00;19818,26
AP;Amap‡;Norte;29,00;14222,43
AM;Amazonas;Norte;1053,00;17149,92
PA;Par‡;Norte;2186,00;16069,57
RO;Rond™nia;Norte;59,00;16761,04
RR;Roraima;Norte;9,00;17655,88
TO;Tocantins;Norte;102,00;16130,98
AL;Alagoas;Nordeste;463,00;17329,95
BA;Bahia;Nordeste;4869,00;15977,51
CE;Cear‡;Nordeste;4446,00;15856,91
MA;Maranh‹o;Nordeste;281,00;18145,51
PB;Para’ba;Nordeste;3781,00;19108,37
PE;Pernambuco;Nordeste;7292,00;15999,51
PI;Piau’;Nordeste;266,00;18534,77
RN;Rio Grande do Norte;Nordeste;3162,00;17350,66
SE;Sergipe;Nordeste;558,00;15985,31
ES;Esp’rito Santo;Sudeste;995,00;16464,84
MG;Minas Gerais;Sudeste;19766,00;16087,05
RJ;Rio de Janeiro;Sudeste;32719,00;17158,26
SP;S‹o Paulo;Sudeste;101880,00;13752,41
PR;Paran‡;Sul;9496,00;17143,50
RS;Rio Grande do Sul;Sul;20275,00;15568,55
SC;Santa Catarina;Sul;7191,00;15033,66
DF;Distrito Federal;Centro-Oeste;5930,00;19795,82
GO;Goi‡s;Centro-Oeste;2181,00;16886,25
MT;Mato Grosso;Centro-Oeste;334,00;20489,98
MS;Mato Grosso do Sul;Centro-Oeste;783,00;16821,99
